rating,date,content,cleaned_content,month,season,tokens,review_length
3,2025-10-22,배송상태도 파손없이 안전하게 잘받았습니다 할인가격이 좋아요 가격대비 매우좋아요 만족합니다 추천합니다 할인을 좀더 많이 했으면 좋겠어요 좋아요 맛있어요 추천합니다 다음에 또 구매할게요,배송상태도 파손없이 안전하게 잘받았습니다 할인가격이 좋아요 가격대비 매우좋아요 만족합니다 추천합니다 할인을 좀더 많이 했으면 좋겠어요 좋아요 맛있어요 추천합니다 다음에 또 구매할게요,10,Fall,배송상태도 파손없이 안전하게 잘받았습니다 할인가격이 좋아요 가격대비 매우좋아요 만족합니다 추천합니다 할인을 좀더 많이 했으면 좋겠어요 좋아요 맛있어요 추천합니다 다음에 또 구매할게요,101
5,2025-11-14,완전짱이쥬!!완전짱이쥬!!완전짱이쥬!!완전짱이쥬!!완전짱이쥬!!완전짱이쥬!!완전짱이쥬!!완전짱이쥬!!완전짱이쥬!!완전짱이쥬!!완전짱이쥬!!완전짱이쥬!!,완전짱이쥬완전짱이쥬완전짱이쥬완전짱이쥬완전짱이쥬완전짱이쥬완전짱이쥬완전짱이쥬완전짱이쥬완전짱이쥬완전짱이쥬완전짱이쥬,11,Fall,완전짱이쥬완전짱이쥬완전짱이쥬완전짱이쥬완전짱이쥬완전짱이쥬완전짱이쥬완전짱이쥬완전짱이쥬완전짱이쥬완전짱이쥬완전짱이쥬,60
5,2025-10-27,항상 먹는 음료라 아직 여유분이 있는데마침 라이브행사 하길래가장 많이 먹는 제로콜라 추가 주문했어요~라이브도 당첨된거 같던대 구입재미가 있네요^^,항상 먹는 음료라 아직 여유분이 있는데마침 라이브행사 하길래가장 많이 먹는 제로콜라 추가 주문했어요라이브도 당첨된거 같던대 구입재미가 있네요,10,Fall,항상 먹는 음료라 아직 여유분이 있는데마침 라이브행사 하길래가장 많이 먹는 제로콜라 추가 주문했어요라이브도 당첨된거 같던대 구입재미가 있네요,78
5,2025-11-05,중간에 맛이 변경되서 베스트 어쩌고 써 있었는데.이번에건 안써있는데 같은 맛일까요? 베스트어쩌고 쓰기 전 버전이 더 나은것 같은 개인취향,중간에 맛이 변경되서 베스트 어쩌고 써 있었는데이번에건 안써있는데 같은 맛일까요 베스트어쩌고 쓰기 전 버전이 더 나은것 같은 개인취향,11,Fall,중간에 맛이 변경되서 베스트 어쩌고 써 있었는데이번에건 안써있는데 같은 맛일까요 베스트어쩌고 쓰기 전 버전이 더 나은것 같은 개인취향,74
5,2025-10-02,제로콜라 맛있어요.사은품 좋아요가격도 배송도 빠르고 좋아요,제로콜라 맛있어요사은품 좋아요가격도 배송도 빠르고 좋아요,10,Fall,제로콜라 맛있어요사은품 좋아요가격도 배송도 빠르고 좋아요,31
5,2025-09-09,"배송,포장상태 모두 만족합니다.유통기한도 넉넉하니 좋네요.강추하며 잘 먹겠습니다 ~~~",배송포장상태 모두 만족합니다유통기한도 넉넉하니 좋네요강추하며 잘 먹겠습니다,9,Fall,배송포장상태 모두 만족합니다유통기한도 넉넉하니 좋네요강추하며 잘 먹겠습니다,41
5,2025-09-20,잘 받았습니다.감사합니다.보너스 상품까지 있어서 굿입니다~~~,잘 받았습니다감사합니다보너스 상품까지 있어서 굿입니다,9,Fall,잘 받았습니다감사합니다보너스 상품까지 있어서 굿입니다,29
5,2025-09-28,제로콜라 없으면 살 맛이 안나는 남편을 위해 쟁여둡니다,제로콜라 없으면 살 맛이 안나는 남편을 위해 쟁여둡니다,9,Fall,제로콜라 없으면 살 맛이 안나는 남편을 위해 쟁여둡니다,30
5,2025-09-17,배송 잘 받았어요 늘 마시는 음료라 계속 주문해요,배송 잘 받았어요 늘 마시는 음료라 계속 주문해요,9,Fall,배송 잘 받았어요 늘 마시는 음료라 계속 주문해요,27
5,2024-10-06,아주좋아요 아주좋아오 아주좋아요 아주좋아오 아주좋아요 아주좋아오,아주좋아요 아주좋아오 아주좋아요 아주좋아오 아주좋아요 아주좋아오,10,Fall,아주좋아요 아주좋아오 아주좋아요 아주좋아오 아주좋아요 아주좋아오,35
