rating,date,content,cleaned_content,month,season,tokens,review_length
5,2020-07-01,매우좋아요매우좋아요,매우좋아요매우좋아요,7,Summer,매우좋아요매우좋아요,10
1,2021-08-15,"항상 즐겨구입하는 제품인데...
택배 핑계대고 40일동안 배송 안해줌.
초기 일부기간 택배배송거부로 그후 재개되었어도 재발송안하고 모르쇠.
고객센타에 전화해도 상담원 4명이나 바뀌도록 확인후 전화준다 해놓고현재는 휴가중이어서 휴가 끝나고 확인후 전화준다고함.

코카콜라 본사직영이 이런 마인드로 판매하니...
해외에서 만들어와도 이보다 빠르고 대응도 이보다 나을듯.
길거리 야매 판매자보다도 못한 ......",항상 즐겨구입하는 제품인데 택배 핑계대고 40일동안 배송 안해줌 초기 일부기간 택배배송거부로 그후 재개되었어도 재발송안하고 모르쇠 고객센타에 전화해도 상담원 4명이나 바뀌도록 확인후 전화준다 해놓고현재는 휴가중이어서 휴가 끝나고 확인후 전화준다고함 코카콜라 본사직영이 이런 마인드로 판매하니 해외에서 만들어와도 이보다 빠르고 대응도 이보다 나을듯 길거리 야매 판매자보다도 못한,8,Summer,항상 즐겨구입하는 제품인데 택배 핑계대고 40일동안 배송 안해줌 초기 일부기간 택배배송거부로 그후 재개되었어도 재발송안하고 모르쇠 고객센타에 전화해도 상담원 4명이나 바뀌도록 확인후 전화준다 해놓고현재는 휴가중이어서 휴가 끝나고 확인후 전화준다고함 코카콜라 본사직영이 이런 마인드로 판매하니 해외에서 만들어와도 이보다 빠르고 대응도 이보다 나을듯 길거리 야매 판매자보다도 못한,210
1,2021-07-30,그냥 먹을라다가 컴터앞에 앉은김에 열받아서 쓴다.... 주문 받아서 하나씩 꺼내서 정리하다보니 밑동이 찌그러진게 하나둘 나오더니 계속나오길래 새보니깐 14개가 찌그러져있네?? 그냥 반반으로다가 15개 맞춰보내지 피사의사탑이냐 서있긴 또 ㅈㄴ불안하게 서있네 컴퓨터앞에 앉아서 이것들뭐하는데지 다신 여기서 안사야지 어디야 볼려고 했는데 주문한데가 본사직영이라네 직영이 무슨 동네 슈퍼보다 품질관리가 떨어지는데 본사는 무슨 확그냥 딱대 딱대!!!!!!!!!!!!!,그냥 먹을라다가 컴터앞에 앉은김에 열받아서 쓴다 주문 받아서 하나씩 꺼내서 정리하다보니 밑동이 찌그러진게 하나둘 나오더니 계속나오길래 새보니깐 14개가 찌그러져있네 그냥 반반으로다가 15개 맞춰보내지 피사의사탑이냐 서있긴 또 불안하게 서있네 컴퓨터앞에 앉아서 이것들뭐하는데지 다신 여기서 안사야지 어디야 볼려고 했는데 주문한데가 본사직영이라네 직영이 무슨 동네 슈퍼보다 품질관리가 떨어지는데 본사는 무슨 확그냥 딱대 딱대,7,Summer,그냥 먹을라다가 컴터앞에 앉은김에 열받아서 쓴다 주문 받아서 하나씩 꺼내서 정리하다보니 밑동이 찌그러진게 하나둘 나오더니 계속나오길래 새보니깐 14개가 찌그러져있네 그냥 반반으로다가 15개 맞춰보내지 피사의사탑이냐 서있긴 또 불안하게 서있네 컴퓨터앞에 앉아서 이것들뭐하는데지 다신 여기서 안사야지 어디야 볼려고 했는데 주문한데가 본사직영이라네 직영이 무슨 동네 슈퍼보다 품질관리가 떨어지는데 본사는 무슨 확그냥 딱대 딱대,235
1,2022-01-01,"이렇게 찌그러지거나 튀어나온 캔들은
탄산이 다 빠져있습니다
60캔중에서 6개가 그랬네요",이렇게 찌그러지거나 튀어나온 캔들은 탄산이 다 빠져있습니다 60캔중에서 6개가 그랬네요,1,Winter,이렇게 찌그러지거나 튀어나온 캔들은 탄산이 다 빠져있습니다 60캔중에서 6개가 그랬네요,48
5,2021-03-30,"최근에 제로콜라 여기에서만 구매하네요
할인받기 가장 편한 곳 같습니다.
다음에 또 구매하겠습니다.
감사합니다.",최근에 제로콜라 여기에서만 구매하네요 할인받기 가장 편한 곳 같습니다 다음에 또 구매하겠습니다 감사합니다,3,Spring,최근에 제로콜라 여기에서만 구매하네요 할인받기 가장 편한 곳 같습니다 다음에 또 구매하겠습니다 감사합니다,58
5,2020-07-05,빠른배송 감사드립니다.,빠른배송 감사드립니다,7,Summer,빠른배송 감사드립니다,11
1,2020-07-02,"비닐위에 송장 붙여서 왔네요.
박스로 올 줄알았는데 실망이네요.
엄청 지저분하게 왔네요.",비닐위에 송장 붙여서 왔네요 박스로 올 줄알았는데 실망이네요 엄청 지저분하게 왔네요,7,Summer,비닐위에 송장 붙여서 왔네요 박스로 올 줄알았는데 실망이네요 엄청 지저분하게 왔네요,46
5,2022-04-21,"190미리의 용량이 제겐 적당한 것 같아 저렴한 제품을 찾던 중 구매했습니다.
제품은 비닐포장이 손상된 곳 없이 잘 배송되었고, 유통기한이 24년까지로 여유롭네요. 다 마시면 재주문하겠습니다. 많이 파세요!",190미리의 용량이 제겐 적당한 것 같아 저렴한 제품을 찾던 중 구매했습니다 제품은 비닐포장이 손상된 곳 없이 잘 배송되었고 유통기한이 24년까지로 여유롭네요 다 마시면 재주문하겠습니다 많이 파세요,4,Spring,190미리의 용량이 제겐 적당한 것 같아 저렴한 제품을 찾던 중 구매했습니다 제품은 비닐포장이 손상된 곳 없이 잘 배송되었고 유통기한이 24년까지로 여유롭네요 다 마시면 재주문하겠습니다 많이 파세요,110
5,2022-03-30,"퇴근하고 집에서 시원한 콜라 1캔에 TV보는 낙으로 사는 사람이라 콜라가 떨어지면 안되요. 제 입엔 제로가 더 맛있어서 구매하고, 저렴한 가격으로 산 것 같아 만족스럽습니다. 유통기한도 24년 3월까지로 여유롭네요. 다음에도 저렴하다면 구매하겠습니다.",퇴근하고 집에서 시원한 콜라 1캔에 TV보는 낙으로 사는 사람이라 콜라가 떨어지면 안되요 제 입엔 제로가 더 맛있어서 구매하고 저렴한 가격으로 산 것 같아 만족스럽습니다 유통기한도 24년 3월까지로 여유롭네요 다음에도 저렴하다면 구매하겠습니다,3,Spring,퇴근하고 집에서 시원한 콜라 1캔에 TV보는 낙으로 사는 사람이라 콜라가 떨어지면 안되요 제 입엔 제로가 더 맛있어서 구매하고 저렴한 가격으로 산 것 같아 만족스럽습니다 유통기한도 24년 3월까지로 여유롭네요 다음에도 저렴하다면 구매하겠습니다,135
5,2021-08-04,"언제나 친절한cj택배~! 남편이 콜라를 좋아해서
캠핑갈때 마시려고 구매했습니다.190m딱 크기도 좋구 .. 할인도하고~ 근데 제로인줄 모르고 주문했네요 ㅋㅋㅋㅋ
뭐 맛은 10프로 부족한 콜라맛입니다.
신기한건 탄산도있고 달기도한데 0칼로리네요.",언제나 친절한cj택배 남편이 콜라를 좋아해서 캠핑갈때 마시려고 구매했습니다190m딱 크기도 좋구 할인도하고 근데 제로인줄 모르고 주문했네요 뭐 맛은 10프로 부족한 콜라맛입니다 신기한건 탄산도있고 달기도한데 0칼로리네요,8,Summer,언제나 친절한cj택배 남편이 콜라를 좋아해서 캠핑갈때 마시려고 구매했습니다190m딱 크기도 좋구 할인도하고 근데 제로인줄 모르고 주문했네요 뭐 맛은 10프로 부족한 콜라맛입니다 신기한건 탄산도있고 달기도한데 0칼로리네요,122
